weight,pa,TOR0,TOD0,TOR10,TOD10,TOR20,TOD20,TOR30,TOD30,TOR40,TOD40,TOR40,TOD40
3100,0,735,1410,790,1515,850,1625,910,1745,975,1870,975,1870
3100,1000,800,1545,860,1660,925,1785,995,1915,1065,2060,1065,2060
3100,2000,875,1690,940,1820,1010,1960,1085,2110,1165,2275,1165,2275
3100,2000,875,1690,940,1820,1010,1960,1085,2110,1165,2275,1165,2275
2800,0,580,1115,625,1195,670,1275,720,1365,770,1460,770,1460
2800,1000,635,1215,680,1300,730,1395,785,1490,840,1595,840,1595
2800,2000,690,1325,745,1420,800,1520,855,1630,915,1750,915,1750
2800,2000,690,1325,745,1420,800,1520,855,1630,915,1750,915,1750
2500,0,450,870,485,925,520,990,555,1055,595,1125,595,1125
2500,1000,490,940,525,1005,565,1075,605,1145,645,1220,645,1220
2500,2000,530,1020,570,1090,615,1165,660,1245,705,1330,705,1330
2500,2000,530,1020,570,1090,615,1165,660,1245,705,1330,705,1330